sample_id,role,deltaT_quartile,true_scale_cv_rms_K,physics_24_nearest_train_sample_id,physics_24_nearest_distance,physics_24_mean_k_distance,physics_24_neighbor_log_target_scale_mean,physics_24_neighbor_log_target_scale_variance,physics_24_neighbor_log_target_scale_std,pooled_latent_96_nearest_train_sample_id,pooled_latent_96_nearest_distance,pooled_latent_96_mean_k_distance,pooled_latent_96_neighbor_log_target_scale_mean,pooled_latent_96_neighbor_log_target_scale_variance,pooled_latent_96_neighbor_log_target_scale_std,combined_120_nearest_train_sample_id,combined_120_nearest_distance,combined_120_mean_k_distance,combined_120_neighbor_log_target_scale_mean,combined_120_neighbor_log_target_scale_variance,combined_120_neighbor_log_target_scale_std
sample_0014,valid_iid,Q4,1.2896650226372384,sample_0215,1.6481254304673183,2.035376711344256,-0.009560742827002571,0.40314599102826687,0.6349377851634496,sample_0215,4.551084982428303,5.475475765308974,0.3225810481809984,0.21861250532907409,0.4675601622562321,sample_0215,4.840319405972864,6.215522006592929,0.22407120127014796,0.27523579587109515,0.52462919845458
sample_0023,valid_iid,Q2,0.2629658707962856,sample_0580,0.9673912893501015,1.356715039286724,-1.1767144978111888,0.31852800882241883,0.5643828565986203,sample_0193,3.847798089814202,4.630424013879699,-0.8198234858590709,0.4744966986408799,0.6888372076484254,sample_0193,4.781382773923613,5.338547707584357,-1.0537976536071227,0.5276476043227836,0.7263935602156613
sample_0027,valid_iid,Q3,0.5366140210141005,sample_0567,1.61481906876899,1.943934762871606,-0.5334569196613623,0.18055716617007697,0.42492018800014314,sample_0002,4.011341662881356,4.909618502471662,-0.6426493379984181,0.28374279772189165,0.5326751333804608,sample_0567,4.899473451894481,5.7929352599165815,-0.6985124694811395,0.2119539504295121,0.4603845679749834
sample_0037,valid_iid,Q2,0.22343163865336263,sample_0094,3.012844091794441,4.365491181441548,-0.9664016668243303,1.1644357494914825,1.0790902415884793,sample_0033,6.479780454097184,7.3066856520950605,-1.329056272781754,1.0174415173315368,1.0086830608925366,sample_0150,8.496222005388434,9.456007432322476,-0.805338765152787,1.0375659330924987,1.018609804141163
sample_0053,valid_iid,Q3,0.4663458019698718,sample_0268,1.2207459984629365,1.5438415265127339,-0.995360568368239,0.23193456061003365,0.48159584779152076,sample_0569,4.479240250134551,5.3832617816911945,-0.5632660977401953,0.4105283945318116,0.6407248976993258,sample_0268,5.186871163287015,5.999679061872877,-0.4193991919571995,0.32974146070260496,0.5742311909872233
sample_0059,valid_iid,Q3,0.6962427182377497,sample_0967,1.0977578590522485,1.4385697161256337,-0.4258650720670173,0.35011267182176453,0.5917031957170458,sample_0405,4.031550951696771,4.911792370238407,-0.8673030563569611,0.2246859089413873,0.4740104523545734,sample_0405,4.564932846282992,5.427354376001087,-0.8673030563569611,0.2246859089413873,0.4740104523545734
sample_0061,valid_iid,Q1,0.08382224791294639,sample_0718,1.5005994031527943,1.7569259459935638,-1.6770697532099827,0.40839177467881427,0.6390553768483717,sample_0219,4.241175324843213,4.713101660905503,-1.394234804417398,0.45294281071243303,0.673010260480799,sample_0949,4.774609454441018,5.288304205879514,-1.4669877978368309,0.3809815187504116,0.6172370037112257
sample_0075,valid_iid,Q2,0.1759556525077124,sample_0443,1.606856795768986,2.282357081825609,-1.8604665045586546,0.5526520335543657,0.743405699167262,sample_0237,4.97015259161474,5.66505327797797,-1.2506744539918642,0.3998104104518863,0.6323056305710762,sample_0237,5.784015612734151,6.5107253138943815,-1.2762256710869397,0.33515513823613646,0.5789258486508756
sample_0077,valid_iid,Q3,0.5243418484033366,sample_0646,1.2243334976211375,1.5550211924335224,-0.5597449765617846,0.3413830411554863,0.5842799338976877,sample_0903,3.801987027256289,5.130669983165243,-0.5184168906266927,0.25450375544270076,0.5044836523047113,sample_0903,4.922812734361492,5.782749947850988,-0.6609772740349779,0.2801801398039599,0.5293204509594919
sample_0084,valid_iid,Q1,0.1663770492536331,sample_0090,0.8559977008638646,1.8382888123981984,-0.9080113887422888,0.5818944337210706,0.7628200533029206,sample_0909,4.858594740704232,5.793636437620095,-1.9608995944721586,0.18420111643204998,0.42918657531666804,sample_0909,5.460069441900397,6.574917553491427,-1.9516282729233776,0.21292809788786987,0.461441326592959
sample_0085,valid_iid,Q2,0.35151646004990067,sample_0396,1.5941168218239663,2.410401203815155,-0.8766539963565918,1.0018798149473658,1.0009394661753357,sample_0133,5.010753356481518,6.482630303343446,-0.7335748441118282,0.43726184207005475,0.6612577727861161,sample_0133,5.471650062361904,7.292870915898511,-0.9362995190107007,0.26348463115475906,0.5133075405200659
sample_0108,valid_iid,Q2,0.2914894514933416,sample_0066,1.0409239646285038,1.398629286882859,-1.132070452760253,0.09908838043242793,0.314783068846512,sample_0066,2.9186730477755263,4.016316474172536,-1.4205351283586354,0.135257200860259,0.3677733009073103,sample_0066,3.098737655876858,4.45004213767471,-1.4094057226396768,0.1342454274061983,0.3663951792889725
sample_0130,valid_iid,Q2,0.3034592316489574,sample_0115,2.214289522160718,2.6788498555990263,-0.727277655883114,0.33644396056507064,0.5800378958008439,sample_0143,4.586430141149898,6.619154656030304,-0.584311223870084,0.4822154692002413,0.6944173595182088,sample_0143,5.1481669266656835,7.503081009294749,-0.697268367251071,0.5276592093409928,0.7264015482782183
sample_0153,valid_iid,Q3,0.5671374625740733,sample_0319,2.0427070324273338,2.182309963369998,0.010227033779204942,0.4078638065404688,0.6386421584427924,sample_0593,4.321772886575783,5.520905762965858,-0.030338170958304496,0.23938763771821286,0.4892725597437617,sample_0354,5.733410553630669,6.272474846604725,-0.05614604181152194,0.2394970639549448,0.48938437240572447
sample_0155,valid_iid,Q2,0.23407834265904284,sample_1032,0.9385643082466508,1.4174071371024746,-1.5300847917121054,0.20899100025702974,0.4571553349322632,sample_0627,2.7682258413505623,4.293892358231453,-1.4210366665984613,0.11422588634503743,0.33797320359022165,sample_0627,2.9261357759610327,4.718821916268844,-1.4210366665984613,0.11422588634503743,0.33797320359022165
sample_0162,valid_iid,Q1,0.104607551461206,sample_0495,1.0634434843091172,1.761379446896807,-1.6597899054743572,0.053762371161880304,0.2318671411862412,sample_0495,2.3927089483070905,3.873112086631785,-1.7735122253033193,0.19193833268027954,0.4381076724736506,sample_0495,2.6183903749495294,4.381823993336265,-1.870554865895239,0.1414876720965102,0.37614847081506286
sample_0169,valid_iid,Q4,1.3291137206236883,sample_0363,1.8263361633492314,2.1099763911060307,-0.04853102454067857,0.4505054165489444,0.6711970027860258,sample_0259,2.6325671586582517,5.448486313979254,-0.012977981580450115,0.49302106962529235,0.702154590973592,sample_0259,3.279798862886433,6.123137511070398,-0.164727928173648,0.36529807820731885,0.6043989396146545
sample_0171,valid_iid,Q1,0.07917458795069666,sample_0421,1.3600194272949533,1.949072503071379,-2.0494111850731107,0.8621296694837047,0.9285093803961836,sample_0771,5.563160242038662,6.530384294619381,-1.0751901540109268,1.126446987731675,1.0613420691424962,sample_0771,6.571382172089112,7.2523489466542985,-1.3507728688348326,1.1002792295522799,1.0489419571893766
sample_0194,valid_iid,Q4,0.9539930273758233,sample_1042,1.4964108178222435,2.2595690239041515,-0.14989170720141914,0.12710261216672777,0.35651453289694623,sample_0472,3.395678173801278,5.723482244827483,-0.41070346268512037,0.19397970477308088,0.44043127133876503,sample_0472,4.144173483634427,6.340735049053629,-0.2859167969398251,0.13473229512991983,0.36705898045126184
sample_0195,valid_iid,Q3,0.47324039844335775,sample_0179,1.6599713293290506,1.7937892898444816,-0.02815152654675328,0.20039655467332543,0.44765673754934754,sample_0985,4.188555160498257,5.238382760313423,-0.5342521815951812,0.44398567809944467,0.6663225030714817,sample_0985,4.564917499972363,5.974192691348167,-0.5134680117879872,0.25163713087240275,0.501634459414824
sample_0196,valid_iid,Q1,0.11565347010374963,sample_1047,0.7486776458025254,1.5020437025024456,-2.1818456427648316,0.2657862576011955,0.5155446223181807,sample_0823,2.9263260591714704,3.780876155551327,-1.9474859885843685,0.12870645906669947,0.35875682441829515,sample_0823,3.6237725136787007,4.198085991463769,-1.9125347303949691,0.13272309855399392,0.36431181500741083
sample_0206,valid_iid,Q1,0.057751311223483696,sample_0145,4.873136587832512,6.601482841622508,-3.208334868337365,0.7241707160367604,0.8509822066510911,sample_0233,9.990179121381873,14.2279942862755,-4.017670643834246,0.4594139512912002,0.6778008197776101,sample_0233,11.219695753306533,16.278842403035853,-3.969738696184335,0.45412477716534483,0.6738878075505929
sample_0213,valid_iid,Q3,0.5267958684596359,sample_0852,1.8253775972963568,2.074035173335484,-0.8886764785314432,0.6233481839075449,0.7895240236418046,sample_0241,4.419074081571412,5.820743255490098,-0.5688033987914257,0.5697081271405197,0.7547901212526034,sample_0241,4.946386640929577,6.6322806326414865,-0.5697853462489386,0.4884043215456394,0.6988593002497995
sample_0224,valid_iid,Q3,0.6197833329296856,sample_0412,0.6590226568797991,1.492970806789241,-0.39908143014164127,0.2522369847054339,0.5022320028686283,sample_0405,5.359104607562411,5.872308438316056,-0.7962662675666123,0.21430419043502064,0.4629300059782479,sample_0405,5.545292148223338,6.323850872858264,-0.7987563177081654,0.2160821978513626,0.4648464239416741
sample_0226,valid_iid,Q1,0.058075400567802395,sample_0299,1.460879853451167,1.8839888184286173,-2.3398004128956913,0.4424861675366431,0.6651963375851097,sample_0483,5.903489391673536,6.32220438038757,-2.0798814302969677,0.794088160123081,0.8911162438891354,sample_0483,6.196471993347967,6.886830055492355,-1.9561522152644737,0.7377277871415203,0.8589108144280874
sample_0229,valid_iid,Q4,0.8969272992883323,sample_0354,2.490397263801272,2.591924970420585,-0.18202556213386842,0.1294511267464133,0.35979317217870227,sample_0472,4.680065232797236,5.496333043382183,-0.17455824670448905,0.2147613506479698,0.46342351110832714,sample_0326,5.736954787524983,6.4001490304973405,-0.17455824670448902,0.21476135064796975,0.4634235111083271
sample_0234,valid_iid,Q3,0.38896814091839,sample_0920,1.1210337949890958,1.5147853737229546,-1.1573478266074622,0.4048297984956628,0.6362623660846701,sample_0183,4.0925369154382185,5.048957606824942,-1.6979098402499744,0.4693983662601705,0.6851265330288782,sample_0183,5.159834037000402,5.6938000684884225,-1.50891762600159,0.6122858971983749,0.7824869949068641
sample_0240,valid_iid,Q1,0.08668854138869422,sample_0285,1.4625697182338742,2.2991181662141864,-2.2078998037914,0.6382636104086965,0.7989140194092832,sample_0299,5.9292020908561724,7.281585827219777,-1.2495477468302556,0.8520619001574751,0.9230719907772498,sample_0299,6.213982061952864,8.031147164033282,-1.4223063548980233,0.5178361404724985,0.7196083243490854
sample_0262,valid_iid,Q4,1.4815468124091347,sample_0692,0.9701899388235069,2.220589035900082,-0.0050524812080480095,0.33063211171972984,0.5750061840708584,sample_0428,4.378327728285942,6.598267896556237,-0.2815935451846759,0.5721495993498137,0.7564057108125333,sample_0428,5.7743082665881325,7.473998698168174,-0.47235013760814004,0.8878560421378408,0.9422611326685617
sample_0265,valid_iid,Q2,0.2449745382555374,sample_0491,1.9953929731512423,2.3979614650769077,-1.0110619663533789,0.6606135355702685,0.812781357789577,sample_0013,5.5185429465832865,6.421146130013173,-0.2821876874586934,0.19682475780916978,0.44364936358476814,sample_0832,6.346125402075761,7.318999456506799,-0.13296820501608203,0.10002239714201888,0.3162631770251145
sample_0271,valid_iid,Q4,1.3831723659142101,sample_0878,1.404627859152021,1.8290797258066303,-0.2567280384453045,0.14061087565776342,0.37498116707077894,sample_0309,4.4403071528592815,5.264652093716167,-0.5178071354030547,0.34141037832291066,0.584303327324867,sample_0878,4.7949448567614965,5.755730736864201,-0.31979750779802796,0.16505124742162805,0.40626499654982345
sample_0281,valid_iid,Q4,1.4172206963127103,sample_0160,1.4877602327706323,1.7620511627386866,-0.07827244068288534,0.39368489091831543,0.6274431375975957,sample_0288,4.193972283275594,5.01283682011891,0.38527668086933775,0.16106669896429793,0.4013311587259304,sample_0288,4.695228061411022,5.454272263514632,0.40972589555418626,0.15515790484660358,0.3939008820079026
sample_0283,valid_iid,Q2,0.25939914864171104,sample_0949,1.438363146218982,1.8509660009756252,-1.836040674446,0.19895883740212406,0.4460480214081484,sample_0842,5.405517826925778,5.619193206170953,-0.8497088680071518,0.5654619351680538,0.751972030841609,sample_0842,5.738644445983729,6.213599881017848,-0.9248820867521073,0.45748181043804675,0.6763740166786767
sample_0304,valid_iid,Q2,0.22636690019492287,sample_0900,1.6252979677246893,1.8227187280007164,-1.271105722351019,0.28252760014296385,0.531533254033051,sample_0859,3.9778953773945274,4.994176036058974,-1.3077323314945706,0.5297537688186951,0.7278418570120126,sample_0859,4.847896162494087,5.759494080062514,-1.5056707611584867,0.3255162408514946,0.5705403060709161
sample_0323,valid_iid,Q4,1.1575128402634633,sample_0386,1.399076624418448,1.911710526731148,0.012521044322702346,0.4036084444010636,0.6353018529809775,sample_0923,4.372241539400153,5.618368634372005,-0.5305990949107311,0.5884828415389999,0.7671263530468758,sample_0923,4.7331515737392005,6.0598439687301,-0.0451927558392674,0.4055064350450982,0.6367938717081832
sample_0325,valid_iid,Q4,1.6250987103360819,sample_0393,1.1476208843033484,1.602507523043562,0.1262365753866534,0.2403663249174651,0.4902716848008511,sample_0540,4.143762279812144,5.370091348578621,0.09676816211495702,0.37951517303469623,0.6160480281883031,sample_0540,4.887588879734951,6.102107624742576,0.28120017487641424,0.38680114663204274,0.6219333940479822
sample_0334,valid_iid,Q1,0.009529631065595099,sample_0439,2.723637304790168,3.2011981650981967,-2.623597102960875,1.1374260584112303,1.0665017854702497,sample_0939,6.871372179785339,7.56646129690223,-4.236330112709464,0.18722296009311382,0.43269268550914264,sample_0154,7.813995297886907,8.780570356830971,-4.236330112709464,0.18722296009311382,0.43269268550914264
sample_0348,valid_iid,Q4,1.7594226076455959,sample_0613,1.5776308813834359,2.015195207938182,0.115669256152089,0.2505269911388906,0.5005267137115567,sample_0647,5.836365431648394,6.435765950103521,0.31220512927650246,0.28515264446995275,0.5339968581086904,sample_0647,6.160305791090875,6.954978927144415,0.24960579398874083,0.2833727833378338,0.5323277029592146
sample_0360,valid_iid,Q3,0.5414195306327659,sample_0881,1.6554689362115607,1.9775314393334291,-0.2729392688532026,0.24205074940505708,0.49198653376394064,sample_0472,3.7387857853760735,4.930607268258604,-0.6051062724139882,0.3872551055504115,0.6222982448556411,sample_0472,4.682819042947681,5.63373316238179,-0.5915544505287936,0.3894656706003724,0.6240718473063598
sample_0364,valid_iid,Q4,0.8546407191781071,sample_0943,2.5773419148092747,3.169334790089196,-0.25073733706692947,0.2631610205502244,0.5129922226995497,sample_0042,5.931000277223026,6.600451007595953,-0.7131927636589681,0.7482408112617757,0.8650091394093913,sample_0404,7.333466867374048,8.009767541284095,-0.5014441505145626,0.33652657476107667,0.5801091059111869
sample_0371,valid_iid,Q3,0.6640046958425427,sample_0647,1.880716961080007,2.3750072505369615,0.08870758520215935,0.35166868450735284,0.5930165971601071,sample_0193,4.102193900461127,4.747314803635497,-0.4752596293232241,0.20520548648221953,0.45299612192845484,sample_0225,5.612210007715701,6.048908552783246,-0.5107019836698948,0.2029450064190273,0.4504941802276998
sample_0384,valid_iid,Q1,0.102519256834361,sample_0141,1.2355399897094195,1.6989240550926001,-1.3175261269164247,0.4832204500612791,0.6951405973335748,sample_0721,3.194895304349422,4.96636694103909,-1.7028307240347895,0.3202891239864304,0.5659409191659766,sample_0087,3.559351140131134,5.428398675564485,-1.6196584881703313,0.2937746580117902,0.5420098320250198
sample_0408,valid_iid,Q2,0.18930178633627778,sample_0844,1.2642838462370287,2.37727710914601,-1.6541058557784467,0.3505809580936905,0.5920987739336153,sample_0098,4.659056485411722,5.188021846092498,-2.2527211816274475,0.5432345718430234,0.7370444843040502,sample_0865,5.1612870564285185,5.9785808923007755,-2.2001128741889184,0.4794330047536469,0.6924110085445254
sample_0411,valid_iid,Q1,0.027465730895437586,sample_0828,1.9639957263501258,2.6995402583515373,-3.1966830129460573,0.4574920193964654,0.6763815634658188,sample_0285,5.32916482908343,6.4305492803189015,-2.9389370855132246,0.2392926032745973,0.4891754320022596,sample_0285,6.024542899611744,7.191310804936305,-2.867442368453176,0.27621430542924574,0.5255609435919356
sample_0419,valid_iid,Q3,0.4433530315066084,sample_0481,1.242353728022571,1.7541762450758918,-0.9973795153070484,0.5216323802809991,0.722241220286546,sample_0066,3.3859396987986,4.43933685858004,-1.4202220662060339,0.1349360444027306,0.36733641856305316,sample_0066,3.780866332969507,5.153386734031857,-1.3024441188005567,0.34316536720998286,0.5858031812904253
sample_0426,valid_iid,Q4,1.2874419959677592,sample_0683,2.0191005458313045,2.487932585903958,0.1531287561774312,0.2577868673549753,0.5077271583783709,sample_0440,4.457013007243741,5.833954519578311,0.25131112719370885,0.2905086817098676,0.5389885728935889,sample_0440,5.464492536741561,6.701995747997938,0.27004850444423356,0.31631240015620143,0.5624165717297113
sample_0427,valid_iid,Q3,0.40927183736751865,sample_0046,1.9231818524649622,2.505863404316778,-1.1600970066948855,0.2771024802078162,0.5264052433323743,sample_0469,4.36092196704094,5.190408183391591,-0.9082378181983517,0.5176046609690085,0.7194474692213522,sample_0046,5.0853807600893655,6.1749255089570045,-0.6766008312507725,0.2395247409684572,0.48941264896655173
sample_0445,valid_iid,Q4,0.891042105596325,sample_0921,1.331586657508738,1.8798400690883565,-0.38770740408111654,0.34238221510751593,0.5851343564579984,sample_0991,5.453674212755094,6.779932794079135,-0.0008831011321345228,0.38968581251490575,0.6242481978467425,sample_0319,6.3799475263410175,7.420241196434176,0.0016985143287960246,0.39024462595630854,0.6246956266505381
sample_0446,valid_iid,Q1,0.1310501961976198,sample_0149,2.2251528698697807,2.65714171662994,-1.035654553952089,0.7756718535963897,0.8807223476194922,sample_0909,5.584816713279546,6.476843522041595,-1.969003524041052,0.2763009424047076,0.5256433604685857,sample_0484,6.76867465020307,7.546277021407161,-1.9342449486229225,0.2507836747458273,0.5007830615604199
sample_0454,valid_iid,Q3,0.4176986779773392,sample_0121,2.3520416058326408,2.989076448469991,-0.8954530771996219,0.8873442178227808,0.9419894998474139,sample_0280,5.985359792509302,6.516441536413607,-1.1583870722363332,0.1835699744448243,0.42845066745755495,sample_0968,6.972066933514423,7.970389801468424,-1.1877975432701764,0.20940919207649283,0.45761249117183506
sample_0460,valid_iid,Q1,0.1356497507851659,sample_0498,1.68669041686122,1.9648022939277492,-2.275471399981967,0.36778496945897404,0.6064527759512476,sample_0116,4.176644440328191,5.0789554229901155,-1.9469735346120765,0.6674094027228442,0.816951285403753,sample_0784,4.9854192090500655,5.967698253290441,-2.200611293848727,0.24162814327497747,0.49155685660458187
sample_0463,valid_iid,Q2,0.19819539260262883,sample_1029,2.137042154968271,2.781978519768413,-1.836279477029588,0.6018455272855728,0.7757870373276243,sample_0294,4.983064489337191,6.003163139858752,-1.9698713321787014,0.4477569725076031,0.6691464507173323,sample_0294,5.595793670523027,6.852385899214758,-1.8004468349617,0.19132022670385357,0.43740167661298873
sample_0480,valid_iid,Q3,0.5908209952841686,sample_0275,0.9976405335310342,1.4235346286983253,-0.09442996275775943,0.21110916794129225,0.4594661771461445,sample_0771,4.56260555104925,5.213271477243124,-0.5570443283094276,0.7836296174462769,0.885228567911292,sample_0275,5.144119942218483,5.93803743735264,-0.24596564081621222,0.29562058724668994,0.543710021285878
sample_0497,valid_iid,Q4,1.2061742300649378,sample_0936,1.460139468085518,1.7247595901526729,0.012730345358931736,0.23309166876401566,0.48279568014224783,sample_0357,3.1807509924557813,4.220620788219279,0.18428978416591524,0.35674283936472506,0.597279532015559,sample_0357,3.779071286970109,4.820834224936709,0.24430146420549845,0.29614025875542244,0.5441877054430966
sample_0515,valid_iid,Q4,1.1829935023061868,sample_0474,1.4664581107299706,1.8263944182282619,-0.361591288968243,0.3150847980834367,0.5613241470696203,sample_0474,3.9351529330075534,5.73603321080874,-0.1321944758995163,0.23020598596348424,0.4797978594819742,sample_0474,4.199515209721673,6.410244586065403,-0.1321944758995163,0.23020598596348424,0.4797978594819742
sample_0516,valid_iid,Q3,0.3631327000516148,sample_0219,1.1994674592210286,1.7478859154062238,-0.7382039140510807,0.14575121025734264,0.38177376842489147,sample_0060,2.8414431216568,4.0730751873961974,-0.4601151876375775,0.3387771662747959,0.58204567370164,sample_0060,3.2444665177637604,4.7131908504415865,-0.5360087099631385,0.27601255368236016,0.5253689690896867
sample_0518,valid_iid,Q2,0.30127662022507934,sample_0482,2.3548224035026464,3.1531067777827078,-0.836629057766439,0.7766651245817648,0.8812860628546016,sample_0690,7.263604453541856,8.69486711171317,-0.7038057289408567,0.38286838497301,0.6187635937682582,sample_0690,8.306407777320027,9.60838564953604,-0.7038057289408567,0.38286838497301,0.6187635937682582
sample_0531,valid_iid,Q3,0.6941838932469186,sample_0537,1.5620663779334871,1.963293255255794,-0.38534380271468804,0.22250778643370617,0.47170731013384365,sample_0462,4.03774408508672,4.493168616578338,-0.2897159501924002,0.23221558495028502,0.48188752313199085,sample_0160,4.635446746301127,5.3459515402705176,-0.28316588237536555,0.2961326270293595,0.5441806933632978
sample_0534,valid_iid,Q3,0.5440257418572824,sample_0251,1.7450045221968717,2.2975237968736026,-1.2826074374647634,0.5367973075967385,0.7326645259576435,sample_0625,4.70790830805246,6.175944961334061,0.24272781410197836,0.1749718139488084,0.4182963231356551,sample_0625,5.168588114672242,7.09290934255058,0.24272781410197836,0.1749718139488084,0.4182963231356551
sample_0545,valid_iid,Q2,0.1781799768004829,sample_0954,1.7936668088992958,2.0820782139302807,-1.4265465719036663,0.5326614927401785,0.7298366205803725,sample_0372,4.966051063898742,5.587154694921802,-1.102642699549241,0.2450850834931944,0.4950606866770926,sample_0372,5.816616747205187,6.32169835730115,-1.1355606200023582,0.2448731667005199,0.4948466092644466
sample_0561,valid_iid,Q1,0.15197174668891367,sample_0481,1.2758690855523371,1.7834266297646182,-0.9805633609211023,0.5245878243487566,0.7242843532403255,sample_0891,5.377395620081202,6.431908179241086,-1.9547749747209615,0.3448470553634335,0.5872367966701623,sample_0912,6.043592112751084,6.999506566601791,-1.7726318688538434,0.28713987879552494,0.5358543447575329
sample_0562,valid_iid,Q3,0.5364410717359955,sample_0091,1.0189689727236473,1.577882590069922,-0.07333932034329327,0.2028847606410101,0.4504273089423088,sample_0635,4.365721671795957,5.169283167175801,-0.7469542245901569,0.29957484842662624,0.5473343113916999,sample_0678,5.025307637579927,5.688427584295902,-0.702287407132344,0.20265342418600835,0.450170439040602
