sample_id,source_id,literature_id,power_provenance,active_layer,source_volume_m3,source_power_W,q_W_m3,covered_control_volume_count,active_layer_power_W,package_total_power_W
p1a_00,src_00,L02,cited_component_power,active_lower,1.5385945638020837e-12,0.00050000000000000001,324971900.82644624,484,0.00050000000000000001,0.00050000000000000001
p1a_01,src_00,L02,cited_component_power,active_lower,1.5385945638020837e-12,0.001,649943801.65289247,484,0.001,0.001
p1a_02,src_00,L02,cited_component_power,active_lower,1.5385945638020837e-12,0.002,1299887603.3057849,484,0.002,0.002
p1a_03,src_00,L02,cited_two_component_schedule,active_lower,1.5385945638020837e-12,0.00050000000000000001,324971900.82644624,484,0.001,0.001
p1a_03,src_01,L02,cited_two_component_schedule,active_lower,1.5385945638020833e-12,0.00050000000000000001,324971900.82644629,484,0.001,0.001
p1a_04,src_00,L02,cited_component_power_repeated,active_lower,1.5385945638020837e-12,0.001,649943801.65289247,484,0.0040000000000000001,0.004000000000000001
p1a_04,src_01,L02,cited_component_power_repeated,active_lower,1.5385945638020833e-12,0.001,649943801.65289259,484,0.0040000000000000001,0.004000000000000001
p1a_04,src_02,L02,cited_component_power_repeated,active_lower,1.5385945638020829e-12,0.001,649943801.65289283,484,0.0040000000000000001,0.004000000000000001
p1a_04,src_03,L02,cited_component_power_repeated,active_lower,1.5385945638020829e-12,0.001,649943801.65289283,484,0.0040000000000000001,0.004000000000000001
p1a_05,src_00,L02,cited_component_power_repeated,active_lower,1.5385945638020837e-12,0.002,1299887603.3057849,484,0.0080000000000000002,0.0080000000000000019
p1a_05,src_01,L02,cited_component_power_repeated,active_lower,1.5385945638020833e-12,0.002,1299887603.3057852,484,0.0080000000000000002,0.0080000000000000019
p1a_05,src_02,L02,cited_component_power_repeated,active_lower,1.5385945638020829e-12,0.002,1299887603.3057857,484,0.0080000000000000002,0.0080000000000000019
p1a_05,src_03,L02,cited_component_power_repeated,active_lower,1.5385945638020829e-12,0.002,1299887603.3057857,484,0.0080000000000000002,0.0080000000000000019
p1a_06,src_00,L02,cited_full_component_schedule,active_lower,1.5385945638020837e-12,0.00050000000000000001,324971900.82644624,484,0.013000000000000001,0.013000000000000001
p1a_06,src_01,L02,cited_full_component_schedule,active_lower,1.5385945638020833e-12,0.00050000000000000001,324971900.82644629,484,0.013000000000000001,0.013000000000000001
p1a_06,src_02,L02,cited_full_component_schedule,active_lower,1.5385945638020829e-12,0.001,649943801.65289283,484,0.013000000000000001,0.013000000000000001
p1a_06,src_03,L02,cited_full_component_schedule,active_lower,1.5385945638020829e-12,0.001,649943801.65289283,484,0.013000000000000001,0.013000000000000001
p1a_06,src_04,L02,cited_full_component_schedule,active_lower,1.5385945638020833e-12,0.001,649943801.65289259,484,0.013000000000000001,0.013000000000000001
p1a_06,src_05,L02,cited_full_component_schedule,active_lower,1.5385945638020833e-12,0.001,649943801.65289259,484,0.013000000000000001,0.013000000000000001
p1a_06,src_06,L02,cited_full_component_schedule,active_lower,1.5385945638020825e-12,0.002,1299887603.3057859,484,0.013000000000000001,0.013000000000000001
p1a_06,src_07,L02,cited_full_component_schedule,active_lower,1.5385945638020825e-12,0.002,1299887603.3057859,484,0.013000000000000001,0.013000000000000001
p1a_06,src_08,L02,cited_full_component_schedule,active_lower,1.5385945638020841e-12,0.002,1299887603.3057845,484,0.013000000000000001,0.013000000000000001
p1a_06,src_09,L02,cited_full_component_schedule,active_lower,1.5385945638020837e-12,0.002,1299887603.3057849,484,0.013000000000000001,0.013000000000000001
p1a_07,src_00,L02,cited_full_component_schedule_pilot_two_layer_allocation,active_lower,1.5385945638020837e-12,0.00050000000000000001,324971900.82644624,484,0.0040000000000000001,0.012999999999999999
p1a_07,src_01,L02,cited_full_component_schedule_pilot_two_layer_allocation,active_lower,1.5385945638020833e-12,0.00050000000000000001,324971900.82644629,484,0.0040000000000000001,0.012999999999999999
p1a_07,src_02,L02,cited_full_component_schedule_pilot_two_layer_allocation,active_lower,1.5385945638020829e-12,0.001,649943801.65289283,484,0.0040000000000000001,0.012999999999999999
p1a_07,src_03,L02,cited_full_component_schedule_pilot_two_layer_allocation,active_lower,1.5385945638020829e-12,0.001,649943801.65289283,484,0.0040000000000000001,0.012999999999999999
p1a_07,src_04,L02,cited_full_component_schedule_pilot_two_layer_allocation,active_lower,1.5385945638020833e-12,0.001,649943801.65289259,484,0.0040000000000000001,0.012999999999999999
p1a_07,src_05,L02,cited_full_component_schedule_pilot_two_layer_allocation,active_upper,1.4770507812499999e-12,0.001,677024793.38842976,484,0.0090000000000000011,0.012999999999999999
p1a_07,src_06,L02,cited_full_component_schedule_pilot_two_layer_allocation,active_upper,1.4770507812499999e-12,0.002,1354049586.7768595,484,0.0090000000000000011,0.012999999999999999
p1a_07,src_07,L02,cited_full_component_schedule_pilot_two_layer_allocation,active_upper,1.4770507812499993e-12,0.002,1354049586.7768602,484,0.0090000000000000011,0.012999999999999999
p1a_07,src_08,L02,cited_full_component_schedule_pilot_two_layer_allocation,active_upper,1.4770507812499993e-12,0.002,1354049586.7768602,484,0.0090000000000000011,0.012999999999999999
p1a_07,src_09,L02,cited_full_component_schedule_pilot_two_layer_allocation,active_upper,1.4770507812499997e-12,0.002,1354049586.7768598,484,0.0090000000000000011,0.012999999999999999
p1a_08,src_00,L19,cited_validation_total,active_lower,1.5385945638020837e-12,1,649943801652.89246,484,1,1
p1a_09,src_00,L19,equal_partition_of_cited_validation_total,active_lower,1.5385945638020837e-12,0.25,162485950413.22311,484,1,1
p1a_09,src_01,L19,equal_partition_of_cited_validation_total,active_lower,1.5385945638020833e-12,0.25,162485950413.22314,484,1,1
p1a_09,src_02,L19,equal_partition_of_cited_validation_total,active_lower,1.5385945638020829e-12,0.25,162485950413.22318,484,1,1
p1a_09,src_03,L19,equal_partition_of_cited_validation_total,active_lower,1.5385945638020829e-12,0.25,162485950413.22318,484,1,1
p1a_10,src_00,L19,equal_layer_partition_of_cited_validation_total,active_lower,1.5385945638020837e-12,0.5,324971900826.44623,484,0.5,1
p1a_10,src_01,L19,equal_layer_partition_of_cited_validation_total,active_upper,1.4770507812499999e-12,0.5,338512396694.2149,484,0.5,1
p1a_11,src_00,L19,cited_active_layer_power,active_lower,1.5385945638020837e-12,10,6499438016528.9238,484,10,10
p1a_12,src_00,L19,equal_source_partition_of_cited_active_layer_power,active_lower,1.5385945638020837e-12,2.5,1624859504132.231,484,10,10
p1a_12,src_01,L19,equal_source_partition_of_cited_active_layer_power,active_lower,1.5385945638020833e-12,2.5,1624859504132.2314,484,10,10
p1a_12,src_02,L19,equal_source_partition_of_cited_active_layer_power,active_lower,1.5385945638020829e-12,2.5,1624859504132.2319,484,10,10
p1a_12,src_03,L19,equal_source_partition_of_cited_active_layer_power,active_lower,1.5385945638020829e-12,2.5,1624859504132.2319,484,10,10
p1a_13,src_00,L19,equal_layer_partition_of_cited_active_layer_power,active_lower,1.5385945638020837e-12,5,3249719008264.4619,484,5,10
p1a_13,src_01,L19,equal_layer_partition_of_cited_active_layer_power,active_upper,1.4770507812499999e-12,5,3385123966942.1489,484,5,10
p1a_14,src_00,L19,cited_two_active_layer_package_total,active_lower,1.5385945638020837e-12,10,6499438016528.9238,484,10,20
p1a_14,src_01,L19,cited_two_active_layer_package_total,active_upper,1.4770507812499999e-12,10,6770247933884.2979,484,10,20
p1a_15,src_00,L19,equal_source_partition_of_cited_two_active_layer_package_total,active_lower,1.5385945638020837e-12,2.5,1624859504132.231,484,10,20
p1a_15,src_01,L19,equal_source_partition_of_cited_two_active_layer_package_total,active_lower,1.5385945638020833e-12,2.5,1624859504132.2314,484,10,20
p1a_15,src_02,L19,equal_source_partition_of_cited_two_active_layer_package_total,active_lower,1.5385945638020829e-12,2.5,1624859504132.2319,484,10,20
p1a_15,src_03,L19,equal_source_partition_of_cited_two_active_layer_package_total,active_lower,1.5385945638020829e-12,2.5,1624859504132.2319,484,10,20
p1a_15,src_04,L19,equal_source_partition_of_cited_two_active_layer_package_total,active_upper,1.4770507812499999e-12,2.5,1692561983471.0745,484,10,20
p1a_15,src_05,L19,equal_source_partition_of_cited_two_active_layer_package_total,active_upper,1.4770507812499999e-12,2.5,1692561983471.0745,484,10,20
p1a_15,src_06,L19,equal_source_partition_of_cited_two_active_layer_package_total,active_upper,1.4770507812499993e-12,2.5,1692561983471.0752,484,10,20
p1a_15,src_07,L19,equal_source_partition_of_cited_two_active_layer_package_total,active_upper,1.4770507812499993e-12,2.5,1692561983471.0752,484,10,20
