sample_id,path,topology,package_total_power_W,layer_index,layer_id,bottom_plane_mean_temperature_K,top_plane_mean_temperature_K,top_minus_bottom_temperature_K,absolute_axial_temperature_drop_K,cv_mean_temperature_K
p1b_ss_p1,A_near_dirichlet,single_layer_single_source,1.0,0,silicon_die_lower,300.0,300.00607393090496,0.006073930904960889,0.006073930904960889,300.0041650221647
p1b_ss_p1,A_near_dirichlet,single_layer_single_source,1.0,1,tim_between_dies,300.00607393090496,300.0061018812785,2.7950373521434813e-05,2.7950373521434813e-05,300.00622074157457
p1b_ss_p1,A_near_dirichlet,single_layer_single_source,1.0,2,silicon_die_upper,300.0061018812785,300.00611099957274,9.118294258314563e-06,9.118294258314563e-06,300.0061969482108
p1b_ss_p1,A_near_dirichlet,single_layer_single_source,1.0,3,tim_to_spreader,300.00611099957274,300.0061271735546,1.6173981862266373e-05,1.6173981862266373e-05,300.0061692595387
p1b_ss_p1,A_near_dirichlet,single_layer_single_source,1.0,4,spreader,300.0061271735546,300.0061247012069,-2.4723477167754027e-06,2.4723477167754027e-06,300.00614333450807
p1b_ss_p4,A_near_dirichlet,single_layer_single_source,4.0,0,silicon_die_lower,300.0,300.0242957236153,0.024295723615296083,0.024295723615296083,300.01666008865925
p1b_ss_p4,A_near_dirichlet,single_layer_single_source,4.0,1,tim_between_dies,300.0242957236153,300.0244075250971,0.00011180148180756078,0.00011180148180756078,300.0248829662895
p1b_ss_p4,A_near_dirichlet,single_layer_single_source,4.0,2,silicon_die_upper,300.0244075250971,300.0244439982658,3.647316867727568e-05,3.647316867727568e-05,300.0247877928256
p1b_ss_p4,A_near_dirichlet,single_layer_single_source,4.0,3,tim_to_spreader,300.0244439982658,300.02450869417635,6.469591056657009e-05,6.469591056657009e-05,300.02467703812374
p1b_ss_p4,A_near_dirichlet,single_layer_single_source,4.0,4,spreader,300.02450869417635,300.02449880478275,-9.889393595585716e-06,9.889393595585716e-06,300.024573337988
p1b_dm_p1,A_near_dirichlet,dual_layer_multi_source,1.0,0,silicon_die_lower,300.0,300.03127237900486,0.031272379004860795,0.031272379004860795,300.00473834602735
p1b_dm_p1,A_near_dirichlet,dual_layer_multi_source,1.0,1,tim_between_dies,300.03127237900486,300.0849567320264,0.053684353021537845,0.053684353021537845,300.0503621008513
p1b_dm_p1,A_near_dirichlet,dual_layer_multi_source,1.0,2,silicon_die_upper,300.0849567320264,300.08753185585283,0.002575123826431991,0.002575123826431991,300.0878462256331
p1b_dm_p1,A_near_dirichlet,dual_layer_multi_source,1.0,3,tim_to_spreader,300.08753185585283,300.087690587413,0.00015873156019097223,0.00015873156019097223,300.0883793164352
p1b_dm_p1,A_near_dirichlet,dual_layer_multi_source,1.0,4,spreader,300.087690587413,300.08764679290704,-4.379450598435142e-05,4.379450598435142e-05,300.0880079206722
p1b_dm_p4,A_near_dirichlet,dual_layer_multi_source,4.0,0,silicon_die_lower,300.0,300.1250895160151,0.12508951601512308,0.12508951601512308,300.01895338410947
p1b_dm_p4,A_near_dirichlet,dual_layer_multi_source,4.0,1,tim_between_dies,300.1250895160151,300.3398269280889,0.21473741207375951,0.21473741207375951,300.20144840339674
p1b_dm_p4,A_near_dirichlet,dual_layer_multi_source,4.0,2,silicon_die_upper,300.3398269280889,300.35012742338637,0.010300495297485668,0.010300495297485668,300.3513849025151
p1b_dm_p4,A_near_dirichlet,dual_layer_multi_source,4.0,3,tim_to_spreader,300.35012742338637,300.35076234961025,0.0006349262238813935,0.0006349262238813935,300.3535172657098
p1b_dm_p4,A_near_dirichlet,dual_layer_multi_source,4.0,4,spreader,300.35076234961025,300.3505871715833,-0.00017517802695010687,0.00017517802695010687,300.3520316826447
p1c_b_ss_p1,B_remote_dirichlet,single_layer_single_source,1.0,0,pcb_fr4_equivalent,300.0,311.54834551160394,11.54834551160394,11.54834551160394,305.52413541217294
p1c_b_ss_p1,B_remote_dirichlet,single_layer_single_source,1.0,1,bt_substrate_with_vias,311.54834551160394,315.7938229591876,4.245477447583653,4.245477447583653,313.46064133904156
p1c_b_ss_p1,B_remote_dirichlet,single_layer_single_source,1.0,2,silicon_interposer_tsv_0p1,315.7938229591876,315.80054845480043,0.006725495612840859,0.006725495612840859,315.79837067222127
p1c_b_ss_p1,B_remote_dirichlet,single_layer_single_source,1.0,3,bump_underfill_under_interposer,315.80054845480043,315.8294353505245,0.02888689572404246,0.02888689572404246,315.81718138738376
p1c_b_ss_p1,B_remote_dirichlet,single_layer_single_source,1.0,4,silicon_die_lower,315.8294353505245,315.7914967096647,-0.03793864085974974,0.03793864085974974,315.8348491367913
p1c_b_ss_p1,B_remote_dirichlet,single_layer_single_source,1.0,5,tim_between_dies,315.7914967096647,315.70779307637343,-0.08370363329129304,0.08370363329129304,315.7669427833484
p1c_b_ss_p1,B_remote_dirichlet,single_layer_single_source,1.0,6,silicon_die_upper,315.70779307637343,315.6635662080352,-0.04422686833822809,0.04422686833822809,315.7066366901639
p1c_b_ss_p1,B_remote_dirichlet,single_layer_single_source,1.0,7,tim_to_spreader,315.6635662080352,315.57973680507325,-0.08382940296195329,0.08382940296195329,315.63645762188514
p1c_b_ss_p1,B_remote_dirichlet,single_layer_single_source,1.0,8,spreader,315.57973680507325,315.56043260018225,-0.019304204891000154,0.019304204891000154,315.5707486432197
p1c_b_ss_p4,B_remote_dirichlet,single_layer_single_source,4.0,0,pcb_fr4_equivalent,300.0,346.19338208205335,46.19338208205335,46.19338208205335,322.0965416455151
p1c_b_ss_p4,B_remote_dirichlet,single_layer_single_source,4.0,1,bt_substrate_with_vias,346.19338208205335,363.17529185305654,16.98190977100319,16.98190977100319,353.8425654728537
p1c_b_ss_p4,B_remote_dirichlet,single_layer_single_source,4.0,2,silicon_interposer_tsv_0p1,363.17529185305654,363.2021938334367,0.026901980380159785,0.026901980380159785,363.19348268863354
p1c_b_ss_p4,B_remote_dirichlet,single_layer_single_source,4.0,3,bump_underfill_under_interposer,363.2021938334367,363.31774136730564,0.11554753386894845,0.11554753386894845,363.26872553544854
p1c_b_ss_p4,B_remote_dirichlet,single_layer_single_source,4.0,4,silicon_die_lower,363.31774136730564,363.1659867795537,-0.15175458775195239,0.15175458775195239,363.33939650776364
p1c_b_ss_p4,B_remote_dirichlet,single_layer_single_source,4.0,5,tim_between_dies,363.1659867795537,362.83117223207734,-0.33481454747635553,0.33481454747635553,363.06777107030183
p1c_b_ss_p4,B_remote_dirichlet,single_layer_single_source,4.0,6,silicon_die_upper,362.83117223207734,362.65426478291744,-0.17690744915989853,0.17690744915989853,362.8265466869247
p1c_b_ss_p4,B_remote_dirichlet,single_layer_single_source,4.0,7,tim_to_spreader,362.65426478291744,362.3189472572325,-0.33531752568495676,0.33531752568495676,362.5458304628014
p1c_b_ss_p4,B_remote_dirichlet,single_layer_single_source,4.0,8,spreader,362.3189472572325,362.24173033459437,-0.07721692263811519,0.07721692263811519,362.282994556884
p1c_b_dm_p1,B_remote_dirichlet,dual_layer_multi_source,1.0,0,pcb_fr4_equivalent,300.0,311.50092587761003,11.50092587761003,11.50092587761003,305.50153103585916
p1c_b_dm_p1,B_remote_dirichlet,dual_layer_multi_source,1.0,1,bt_substrate_with_vias,311.50092587761003,315.72933865988546,4.228412782275427,4.228412782275427,313.40556154566156
p1c_b_dm_p1,B_remote_dirichlet,dual_layer_multi_source,1.0,2,silicon_interposer_tsv_0p1,315.72933865988546,315.73613080255075,0.006792142665290157,0.006792142665290157,315.7337251071103
p1c_b_dm_p1,B_remote_dirichlet,dual_layer_multi_source,1.0,3,bump_underfill_under_interposer,315.73613080255075,315.7653274755905,0.029196673039734833,0.029196673039734833,315.75245887237224
p1c_b_dm_p1,B_remote_dirichlet,dual_layer_multi_source,1.0,4,silicon_die_lower,315.7653274755905,315.7525878358054,-0.012739639785081636,0.012739639785081636,315.77060535117914
p1c_b_dm_p1,B_remote_dirichlet,dual_layer_multi_source,1.0,5,tim_between_dies,315.7525878358054,315.7225571246176,-0.030030711187805537,0.030030711187805537,315.74659264109846
p1c_b_dm_p1,B_remote_dirichlet,dual_layer_multi_source,1.0,6,silicon_die_upper,315.7225571246176,315.68097946434983,-0.04157766026776244,0.04157766026776244,315.72404111709386
p1c_b_dm_p1,B_remote_dirichlet,dual_layer_multi_source,1.0,7,tim_to_spreader,315.68097946434983,315.59746473141126,-0.0835147329385677,0.0835147329385677,315.6547098881639
p1c_b_dm_p1,B_remote_dirichlet,dual_layer_multi_source,1.0,8,spreader,315.59746473141126,315.5781842852184,-0.01928044619285174,0.01928044619285174,315.58892422100115
p1c_b_dm_p4,B_remote_dirichlet,dual_layer_multi_source,4.0,0,pcb_fr4_equivalent,300.0,346.003703695507,46.003703695507,46.003703695507,322.0061243982754
p1c_b_dm_p4,B_remote_dirichlet,dual_layer_multi_source,4.0,1,bt_substrate_with_vias,346.003703695507,362.91735467262885,16.913650977121847,16.913650977121847,353.62224632107296
p1c_b_dm_p4,B_remote_dirichlet,dual_layer_multi_source,4.0,2,silicon_interposer_tsv_0p1,362.91735467262885,362.9445231962168,0.02716852358793176,0.02716852358793176,362.93490046085634
p1c_b_dm_p4,B_remote_dirichlet,dual_layer_multi_source,4.0,3,bump_underfill_under_interposer,362.9445231962168,363.06130972422307,0.11678652800628697,0.11678652800628697,363.0098354131156
p1c_b_dm_p4,B_remote_dirichlet,dual_layer_multi_source,4.0,4,silicon_die_lower,363.06130972422307,363.01035125053914,-0.05095847368392015,0.05095847368392015,363.0824212354046
p1c_b_dm_p4,B_remote_dirichlet,dual_layer_multi_source,4.0,5,tim_between_dies,363.01035125053914,362.8902285315216,-0.12012271901755867,0.12012271901755867,362.9863705217335
p1c_b_dm_p4,B_remote_dirichlet,dual_layer_multi_source,4.0,6,silicon_die_upper,362.8902285315216,362.7239179001201,-0.16631063140147262,0.16631063140147262,362.89616451062096
p1c_b_dm_p4,B_remote_dirichlet,dual_layer_multi_source,4.0,7,tim_to_spreader,362.7239179001201,362.3898589450415,-0.3340589550786035,0.3340589550786035,362.6188395978949
p1c_b_dm_p4,B_remote_dirichlet,dual_layer_multi_source,4.0,8,spreader,362.3898589450415,362.31273707882974,-0.07712186621176897,0.07712186621176897,362.3556968641993
p1c_c0_ss_p1,C0_bottom_adiabatic,single_layer_single_source,1.0,0,silicon_die_lower,320.34666617014517,320.29621342166246,-0.050452748482712195,0.050452748482712195,320.3526116125475
p1c_c0_ss_p1,C0_bottom_adiabatic,single_layer_single_source,1.0,1,tim_between_dies,320.29621342166246,320.1886917094223,-0.10752171224015683,0.10752171224015683,320.2647395887368
p1c_c0_ss_p1,C0_bottom_adiabatic,single_layer_single_source,1.0,2,silicon_die_upper,320.1886917094223,320.13186203870623,-0.05682967071606981,0.05682967071606981,320.18723011903876
p1c_c0_ss_p1,C0_bottom_adiabatic,single_layer_single_source,1.0,3,tim_to_spreader,320.13186203870623,320.02414139045976,-0.10772064824647032,0.10772064824647032,320.09703125539914
p1c_c0_ss_p1,C0_bottom_adiabatic,single_layer_single_source,1.0,4,spreader,320.02414139045976,319.9993319569436,-0.024809433516168156,0.024809433516168156,320.0125776451465
p1c_c0_ss_p4,C0_bottom_adiabatic,single_layer_single_source,4.0,0,silicon_die_lower,381.3866646652243,381.1848536712956,-0.20181099392868873,0.20181099392868873,381.4104464348333
p1c_c0_ss_p4,C0_bottom_adiabatic,single_layer_single_source,4.0,1,tim_between_dies,381.1848536712956,380.75476682233864,-0.43008684895698934,0.43008684895698934,381.0589583395938
p1c_c0_ss_p4,C0_bottom_adiabatic,single_layer_single_source,4.0,2,silicon_die_upper,380.75476682233864,380.5274481394801,-0.22731868285853807,0.22731868285853807,380.7489204608048
p1c_c0_ss_p4,C0_bottom_adiabatic,single_layer_single_source,4.0,3,tim_to_spreader,380.5274481394801,380.0965655465058,-0.4308825929742852,0.4308825929742852,380.38812500625545
p1c_c0_ss_p4,C0_bottom_adiabatic,single_layer_single_source,4.0,4,spreader,380.0965655465058,379.99732781245336,-0.09923773405245129,0.09923773405245129,380.05031056525695
p1c_c0_dm_p1,C0_bottom_adiabatic,dual_layer_multi_source,1.0,0,silicon_die_lower,320.2646124147313,320.2392863809554,-0.025326033775911583,0.025326033775911583,320.2699208657944
p1c_c0_dm_p1,C0_bottom_adiabatic,dual_layer_multi_source,1.0,1,tim_between_dies,320.2392863809554,320.18531427613675,-0.053972104818626576,0.053972104818626576,320.2259848538882
p1c_c0_dm_p1,C0_bottom_adiabatic,dual_layer_multi_source,1.0,2,silicon_die_upper,320.18531427613675,320.1311118156153,-0.054202460521423745,0.054202460521423745,320.1863003669723
p1c_c0_dm_p1,C0_bottom_adiabatic,dual_layer_multi_source,1.0,3,tim_to_spreader,320.1311118156153,320.02367241868086,-0.10743939693446691,0.10743939693446691,320.09703125539886
p1c_c0_dm_p1,C0_bottom_adiabatic,dual_layer_multi_source,1.0,4,spreader,320.02367241868086,319.9988971473495,-0.024775271331350268,0.024775271331350268,320.01257764514645
p1c_c0_dm_p4,C0_bottom_adiabatic,dual_layer_multi_source,4.0,0,silicon_die_lower,381.0584496435669,380.957145508466,-0.10130413510091785,0.10130413510091785,381.0796834478195
p1c_c0_dm_p4,C0_bottom_adiabatic,dual_layer_multi_source,4.0,1,tim_between_dies,380.957145508466,380.7412570891965,-0.21588841926950408,0.21588841926950408,380.9039394001988
p1c_c0_dm_p4,C0_bottom_adiabatic,dual_layer_multi_source,4.0,2,silicon_die_upper,380.7412570891965,380.5244472471167,-0.21680984207978327,0.21680984207978327,380.745201452539
p1c_c0_dm_p4,C0_bottom_adiabatic,dual_layer_multi_source,4.0,3,tim_to_spreader,380.5244472471167,380.09468965939027,-0.4297575877264421,0.4297575877264421,380.3881250062542
p1c_c0_dm_p4,C0_bottom_adiabatic,dual_layer_multi_source,4.0,4,spreader,380.09468965939027,379.99558857407516,-0.09910108531511241,0.09910108531511241,380.0503105652559
