sample_id,source_id,active_layer,declared_source_area_m2,source_power_W,surface_power_density_W_m2,realized_source_control_volume_m3,q_W_m3,covered_control_volume_count,covered_x_node_count,covered_y_node_count,covered_z_node_count,resolved_x_interval_count,resolved_y_interval_count,active_layer_power_W,package_total_power_W,total_source_area_mm2
p1d64b_f00_near_adiabatic_q1_30_42p5_a16_l0,src_00,silicon_die_lower,1.9999999999999995e-06,0.225,112500.00000000003,2.471923828124995e-10,910222222.2222241,270,9,10,3,8,9,0.9,1.8,16.0
p1d64b_f00_near_adiabatic_q1_30_42p5_a16_l0,src_01,silicon_die_lower,2.0000000000000003e-06,0.225,112499.99999999999,2.1972656249999958e-10,1024000000.000002,240,8,10,3,7,9,0.9,1.8,16.0
p1d64b_f00_near_adiabatic_q1_30_42p5_a16_l0,src_02,silicon_die_lower,2.0000000000000003e-06,0.225,112499.99999999999,2.4719238281249944e-10,910222222.2222244,270,9,10,3,8,9,0.9,1.8,16.0
p1d64b_f00_near_adiabatic_q1_30_42p5_a16_l0,src_03,silicon_die_lower,2.0000000000000016e-06,0.225,112499.99999999991,2.471923828124994e-10,910222222.2222245,270,9,10,3,8,9,0.9,1.8,16.0
p1d64b_f00_near_adiabatic_q1_30_42p5_a16_l0,src_04,silicon_die_upper,1.9999999999999995e-06,0.225,112500.00000000003,3.021240234375001e-10,744727272.7272725,360,9,10,4,8,9,0.9,1.8,16.0
p1d64b_f00_near_adiabatic_q1_30_42p5_a16_l0,src_05,silicon_die_upper,2.0000000000000003e-06,0.225,112499.99999999999,2.685546875000001e-10,837818181.8181815,320,8,10,4,7,9,0.9,1.8,16.0
p1d64b_f00_near_adiabatic_q1_30_42p5_a16_l0,src_06,silicon_die_upper,2.0000000000000003e-06,0.225,112499.99999999999,3.021240234375001e-10,744727272.7272725,360,9,10,4,8,9,0.9,1.8,16.0
p1d64b_f00_near_adiabatic_q1_30_42p5_a16_l0,src_07,silicon_die_upper,2.0000000000000016e-06,0.225,112499.99999999991,3.021240234375e-10,744727272.7272727,360,9,10,4,8,9,0.9,1.8,16.0
p1d64b_f00_near_adiabatic_q1_30_42p5_a32_l1,src_00,silicon_die_lower,3.999999999999998e-06,0.225,56250.00000000003,4.6142578124999894e-10,487619047.6190488,504,8,21,3,7,20,0.9,1.8,32.0
p1d64b_f00_near_adiabatic_q1_30_42p5_a32_l1,src_01,silicon_die_lower,3.999999999999998e-06,0.225,56250.00000000003,4.614257812499991e-10,487619047.6190486,504,8,21,3,7,20,0.9,1.8,32.0
p1d64b_f00_near_adiabatic_q1_30_42p5_a32_l1,src_02,silicon_die_lower,3.999999999999997e-06,0.225,56250.00000000004,4.6142578124999894e-10,487619047.6190488,504,8,21,3,7,20,0.9,1.8,32.0
p1d64b_f00_near_adiabatic_q1_30_42p5_a32_l1,src_03,silicon_die_lower,4.000000000000002e-06,0.225,56249.99999999997,4.614257812499987e-10,487619047.619049,504,8,21,3,7,20,0.9,1.8,32.0
p1d64b_f00_near_adiabatic_q1_30_42p5_a32_l1,src_04,silicon_die_upper,4.000000000000002e-06,0.225,56249.99999999997,5.37109375e-10,418909090.9090909,640,8,20,4,7,19,0.9,1.8,32.0
p1d64b_f00_near_adiabatic_q1_30_42p5_a32_l1,src_05,silicon_die_upper,4.0000000000000015e-06,0.225,56249.99999999998,5.371093750000001e-10,418909090.9090908,640,8,20,4,7,19,0.9,1.8,32.0
p1d64b_f00_near_adiabatic_q1_30_42p5_a32_l1,src_06,silicon_die_upper,4.000000000000002e-06,0.225,56249.99999999997,5.371093750000002e-10,418909090.90909076,640,8,20,4,7,19,0.9,1.8,32.0
p1d64b_f00_near_adiabatic_q1_30_42p5_a32_l1,src_07,silicon_die_upper,4.000000000000006e-06,0.225,56249.99999999992,5.371093749999998e-10,418909090.90909106,640,8,20,4,7,19,0.9,1.8,32.0
p1d64b_f00_near_adiabatic_q2_42p5_55_a48_l0,src_00,silicon_die_lower,5.999999999999999e-06,0.3,50000.00000000001,7.415771484374984e-10,404543209.87654406,810,9,30,3,8,29,1.2,2.4,48.0
p1d64b_f00_near_adiabatic_q2_42p5_55_a48_l0,src_01,silicon_die_lower,6.000000000000002e-06,0.3,49999.999999999985,6.591796874999987e-10,455111111.111112,720,8,30,3,7,29,1.2,2.4,48.0
p1d64b_f00_near_adiabatic_q2_42p5_55_a48_l0,src_02,silicon_die_lower,6.000000000000002e-06,0.3,49999.999999999985,7.415771484374984e-10,404543209.87654406,810,9,30,3,8,29,1.2,2.4,48.0
p1d64b_f00_near_adiabatic_q2_42p5_55_a48_l0,src_03,silicon_die_lower,6.000000000000006e-06,0.3,49999.99999999995,7.415771484374981e-10,404543209.87654424,810,9,30,3,8,29,1.2,2.4,48.0
p1d64b_f00_near_adiabatic_q2_42p5_55_a48_l0,src_04,silicon_die_upper,5.9999999999999985e-06,0.3,50000.000000000015,9.063720703125001e-10,330989898.9898989,1080,9,30,4,8,29,1.2,2.4,48.0
p1d64b_f00_near_adiabatic_q2_42p5_55_a48_l0,src_05,silicon_die_upper,6.000000000000001e-06,0.3,49999.99999999999,8.056640625000004e-10,372363636.3636362,960,8,30,4,7,29,1.2,2.4,48.0
p1d64b_f00_near_adiabatic_q2_42p5_55_a48_l0,src_06,silicon_die_upper,6.000000000000001e-06,0.3,49999.99999999999,9.063720703125001e-10,330989898.9898989,1080,9,30,4,8,29,1.2,2.4,48.0
p1d64b_f00_near_adiabatic_q2_42p5_55_a48_l0,src_07,silicon_die_upper,6.000000000000004e-06,0.3,49999.99999999996,9.063720703124999e-10,330989898.98989904,1080,9,30,4,8,29,1.2,2.4,48.0
p1d64b_f00_near_adiabatic_q2_42p5_55_a64_l1,src_00,silicon_die_lower,7.999999999999998e-06,0.3,37500.00000000001,9.00878906249998e-10,333008130.08130157,984,8,41,3,7,40,1.2,2.4,64.0
p1d64b_f00_near_adiabatic_q2_42p5_55_a64_l1,src_01,silicon_die_lower,7.999999999999998e-06,0.3,37500.00000000001,9.008789062499982e-10,333008130.08130145,984,8,41,3,7,40,1.2,2.4,64.0
p1d64b_f00_near_adiabatic_q2_42p5_55_a64_l1,src_02,silicon_die_lower,7.999999999999995e-06,0.3,37500.00000000002,9.008789062499979e-10,333008130.08130157,984,8,41,3,7,40,1.2,2.4,64.0
p1d64b_f00_near_adiabatic_q2_42p5_55_a64_l1,src_03,silicon_die_lower,8.000000000000006e-06,0.3,37499.99999999997,9.008789062499976e-10,333008130.0813017,984,8,41,3,7,40,1.2,2.4,64.0
p1d64b_f00_near_adiabatic_q2_42p5_55_a64_l1,src_04,silicon_die_upper,8.000000000000001e-06,0.3,37499.99999999999,1.1010742187500002e-09,272461197.33924603,1312,8,41,4,7,40,1.2,2.4,64.0
p1d64b_f00_near_adiabatic_q2_42p5_55_a64_l1,src_05,silicon_die_upper,7.999999999999998e-06,0.3,37500.00000000001,1.1010742187500002e-09,272461197.33924603,1312,8,41,4,7,40,1.2,2.4,64.0
p1d64b_f00_near_adiabatic_q2_42p5_55_a64_l1,src_06,silicon_die_upper,8.000000000000001e-06,0.3,37499.99999999999,1.1010742187500002e-09,272461197.33924603,1312,8,41,4,7,40,1.2,2.4,64.0
p1d64b_f00_near_adiabatic_q2_42p5_55_a64_l1,src_07,silicon_die_upper,8.000000000000006e-06,0.3,37499.99999999997,1.1010742187499996e-09,272461197.3392462,1312,8,41,4,7,40,1.2,2.4,64.0
p1d64b_f00_near_adiabatic_q3_55_67p5_a16_l0,src_00,silicon_die_lower,1.9999999999999995e-06,0.375,187500.00000000006,2.471923828124995e-10,1517037037.0370402,270,9,10,3,8,9,1.5,3.0,16.0
p1d64b_f00_near_adiabatic_q3_55_67p5_a16_l0,src_01,silicon_die_lower,2.0000000000000003e-06,0.375,187499.99999999997,2.1972656249999958e-10,1706666666.6666698,240,8,10,3,7,9,1.5,3.0,16.0
p1d64b_f00_near_adiabatic_q3_55_67p5_a16_l0,src_02,silicon_die_lower,2.0000000000000003e-06,0.375,187499.99999999997,2.4719238281249944e-10,1517037037.0370405,270,9,10,3,8,9,1.5,3.0,16.0
p1d64b_f00_near_adiabatic_q3_55_67p5_a16_l0,src_03,silicon_die_lower,2.0000000000000016e-06,0.375,187499.99999999985,2.471923828124994e-10,1517037037.0370407,270,9,10,3,8,9,1.5,3.0,16.0
p1d64b_f00_near_adiabatic_q3_55_67p5_a16_l0,src_04,silicon_die_upper,1.9999999999999995e-06,0.375,187500.00000000006,3.021240234375001e-10,1241212121.2121208,360,9,10,4,8,9,1.5,3.0,16.0
p1d64b_f00_near_adiabatic_q3_55_67p5_a16_l0,src_05,silicon_die_upper,2.0000000000000003e-06,0.375,187499.99999999997,2.685546875000001e-10,1396363636.3636358,320,8,10,4,7,9,1.5,3.0,16.0
p1d64b_f00_near_adiabatic_q3_55_67p5_a16_l0,src_06,silicon_die_upper,2.0000000000000003e-06,0.375,187499.99999999997,3.021240234375001e-10,1241212121.2121208,360,9,10,4,8,9,1.5,3.0,16.0
p1d64b_f00_near_adiabatic_q3_55_67p5_a16_l0,src_07,silicon_die_upper,2.0000000000000016e-06,0.375,187499.99999999985,3.021240234375e-10,1241212121.2121212,360,9,10,4,8,9,1.5,3.0,16.0
p1d64b_f00_near_adiabatic_q3_55_67p5_a32_l1,src_00,silicon_die_lower,3.999999999999998e-06,0.375,93750.00000000004,4.6142578124999894e-10,812698412.6984146,504,8,21,3,7,20,1.5,3.0,32.0
p1d64b_f00_near_adiabatic_q3_55_67p5_a32_l1,src_01,silicon_die_lower,3.999999999999998e-06,0.375,93750.00000000004,4.614257812499991e-10,812698412.6984143,504,8,21,3,7,20,1.5,3.0,32.0
p1d64b_f00_near_adiabatic_q3_55_67p5_a32_l1,src_02,silicon_die_lower,3.999999999999997e-06,0.375,93750.00000000006,4.6142578124999894e-10,812698412.6984146,504,8,21,3,7,20,1.5,3.0,32.0
p1d64b_f00_near_adiabatic_q3_55_67p5_a32_l1,src_03,silicon_die_lower,4.000000000000002e-06,0.375,93749.99999999994,4.614257812499987e-10,812698412.698415,504,8,21,3,7,20,1.5,3.0,32.0
p1d64b_f00_near_adiabatic_q3_55_67p5_a32_l1,src_04,silicon_die_upper,4.000000000000002e-06,0.375,93749.99999999994,5.37109375e-10,698181818.1818181,640,8,20,4,7,19,1.5,3.0,32.0
p1d64b_f00_near_adiabatic_q3_55_67p5_a32_l1,src_05,silicon_die_upper,4.0000000000000015e-06,0.375,93749.99999999997,5.371093750000001e-10,698181818.181818,640,8,20,4,7,19,1.5,3.0,32.0
p1d64b_f00_near_adiabatic_q3_55_67p5_a32_l1,src_06,silicon_die_upper,4.000000000000002e-06,0.375,93749.99999999994,5.371093750000002e-10,698181818.1818179,640,8,20,4,7,19,1.5,3.0,32.0
p1d64b_f00_near_adiabatic_q3_55_67p5_a32_l1,src_07,silicon_die_upper,4.000000000000006e-06,0.375,93749.99999999987,5.371093749999998e-10,698181818.1818184,640,8,20,4,7,19,1.5,3.0,32.0
p1d64b_f00_near_adiabatic_q4_67p5_80_a48_l0,src_00,silicon_die_lower,5.999999999999999e-06,0.45,75000.00000000001,7.415771484374984e-10,606814814.8148161,810,9,30,3,8,29,1.8,3.6,48.0
p1d64b_f00_near_adiabatic_q4_67p5_80_a48_l0,src_01,silicon_die_lower,6.000000000000002e-06,0.45,74999.99999999999,6.591796874999987e-10,682666666.666668,720,8,30,3,7,29,1.8,3.6,48.0
p1d64b_f00_near_adiabatic_q4_67p5_80_a48_l0,src_02,silicon_die_lower,6.000000000000002e-06,0.45,74999.99999999999,7.415771484374984e-10,606814814.8148161,810,9,30,3,8,29,1.8,3.6,48.0
p1d64b_f00_near_adiabatic_q4_67p5_80_a48_l0,src_03,silicon_die_lower,6.000000000000006e-06,0.45,74999.99999999993,7.415771484374981e-10,606814814.8148164,810,9,30,3,8,29,1.8,3.6,48.0
p1d64b_f00_near_adiabatic_q4_67p5_80_a48_l0,src_04,silicon_die_upper,5.9999999999999985e-06,0.45,75000.00000000001,9.063720703125001e-10,496484848.48484844,1080,9,30,4,8,29,1.8,3.6,48.0
p1d64b_f00_near_adiabatic_q4_67p5_80_a48_l0,src_05,silicon_die_upper,6.000000000000001e-06,0.45,74999.99999999999,8.056640625000004e-10,558545454.5454543,960,8,30,4,7,29,1.8,3.6,48.0
p1d64b_f00_near_adiabatic_q4_67p5_80_a48_l0,src_06,silicon_die_upper,6.000000000000001e-06,0.45,74999.99999999999,9.063720703125001e-10,496484848.48484844,1080,9,30,4,8,29,1.8,3.6,48.0
p1d64b_f00_near_adiabatic_q4_67p5_80_a48_l0,src_07,silicon_die_upper,6.000000000000004e-06,0.45,74999.99999999994,9.063720703124999e-10,496484848.48484856,1080,9,30,4,8,29,1.8,3.6,48.0
p1d64b_f00_near_adiabatic_q4_67p5_80_a64_l1,src_00,silicon_die_lower,7.999999999999998e-06,0.45,56250.000000000015,9.00878906249998e-10,499512195.12195235,984,8,41,3,7,40,1.8,3.6,64.0
p1d64b_f00_near_adiabatic_q4_67p5_80_a64_l1,src_01,silicon_die_lower,7.999999999999998e-06,0.45,56250.000000000015,9.008789062499982e-10,499512195.12195224,984,8,41,3,7,40,1.8,3.6,64.0
p1d64b_f00_near_adiabatic_q4_67p5_80_a64_l1,src_02,silicon_die_lower,7.999999999999995e-06,0.45,56250.00000000004,9.008789062499979e-10,499512195.1219524,984,8,41,3,7,40,1.8,3.6,64.0
p1d64b_f00_near_adiabatic_q4_67p5_80_a64_l1,src_03,silicon_die_lower,8.000000000000006e-06,0.45,56249.999999999956,9.008789062499976e-10,499512195.1219526,984,8,41,3,7,40,1.8,3.6,64.0
p1d64b_f00_near_adiabatic_q4_67p5_80_a64_l1,src_04,silicon_die_upper,8.000000000000001e-06,0.45,56249.99999999999,1.1010742187500002e-09,408691796.0088691,1312,8,41,4,7,40,1.8,3.6,64.0
p1d64b_f00_near_adiabatic_q4_67p5_80_a64_l1,src_05,silicon_die_upper,7.999999999999998e-06,0.45,56250.000000000015,1.1010742187500002e-09,408691796.0088691,1312,8,41,4,7,40,1.8,3.6,64.0
p1d64b_f00_near_adiabatic_q4_67p5_80_a64_l1,src_06,silicon_die_upper,8.000000000000001e-06,0.45,56249.99999999999,1.1010742187500002e-09,408691796.0088691,1312,8,41,4,7,40,1.8,3.6,64.0
p1d64b_f00_near_adiabatic_q4_67p5_80_a64_l1,src_07,silicon_die_upper,8.000000000000006e-06,0.45,56249.999999999956,1.1010742187499996e-09,408691796.00886935,1312,8,41,4,7,40,1.8,3.6,64.0
p1d64b_f01_low_low_q1_30_42p5_a32_l0,src_00,silicon_die_lower,3.999999999999998e-06,0.225,56250.00000000003,4.94384765624999e-10,455111111.11111206,540,9,20,3,8,19,0.9,1.8,32.0
p1d64b_f01_low_low_q1_30_42p5_a32_l0,src_01,silicon_die_lower,4e-06,0.225,56250.00000000001,4.394531249999991e-10,512000000.0000011,480,8,20,3,7,19,0.9,1.8,32.0
p1d64b_f01_low_low_q1_30_42p5_a32_l0,src_02,silicon_die_lower,4e-06,0.225,56250.00000000001,4.94384765624999e-10,455111111.11111206,540,9,20,3,8,19,0.9,1.8,32.0
p1d64b_f01_low_low_q1_30_42p5_a32_l0,src_03,silicon_die_lower,4.000000000000002e-06,0.225,56249.99999999997,4.943847656249988e-10,455111111.11111224,540,9,20,3,8,19,0.9,1.8,32.0
p1d64b_f01_low_low_q1_30_42p5_a32_l0,src_04,silicon_die_upper,4e-06,0.225,56250.00000000001,6.042480468750002e-10,372363636.36363626,720,9,20,4,8,19,0.9,1.8,32.0
p1d64b_f01_low_low_q1_30_42p5_a32_l0,src_05,silicon_die_upper,4.0000000000000015e-06,0.225,56249.99999999998,5.371093750000002e-10,418909090.90909076,640,8,20,4,7,19,0.9,1.8,32.0
p1d64b_f01_low_low_q1_30_42p5_a32_l0,src_06,silicon_die_upper,4.0000000000000015e-06,0.225,56249.99999999998,6.042480468750002e-10,372363636.36363626,720,9,20,4,8,19,0.9,1.8,32.0
p1d64b_f01_low_low_q1_30_42p5_a32_l0,src_07,silicon_die_upper,4.000000000000004e-06,0.225,56249.99999999994,6.042480468749999e-10,372363636.36363643,720,9,20,4,8,19,0.9,1.8,32.0
p1d64b_f01_low_low_q1_30_42p5_a48_l1,src_00,silicon_die_lower,5.999999999999999e-06,0.225,37500.00000000001,6.811523437499984e-10,330322580.64516205,744,8,31,3,7,30,0.9,1.8,48.0
p1d64b_f01_low_low_q1_30_42p5_a48_l1,src_01,silicon_die_lower,5.999999999999999e-06,0.225,37500.00000000001,6.811523437499985e-10,330322580.645162,744,8,31,3,7,30,0.9,1.8,48.0
p1d64b_f01_low_low_q1_30_42p5_a48_l1,src_02,silicon_die_lower,5.999999999999998e-06,0.225,37500.000000000015,6.811523437499984e-10,330322580.64516205,744,8,31,3,7,30,0.9,1.8,48.0
p1d64b_f01_low_low_q1_30_42p5_a48_l1,src_03,silicon_die_lower,6.000000000000006e-06,0.225,37499.99999999996,6.811523437499981e-10,330322580.6451622,744,8,31,3,7,30,0.9,1.8,48.0
p1d64b_f01_low_low_q1_30_42p5_a48_l1,src_04,silicon_die_upper,6.000000000000001e-06,0.225,37499.99999999999,8.325195312500003e-10,270263929.6187682,992,8,31,4,7,30,0.9,1.8,48.0
p1d64b_f01_low_low_q1_30_42p5_a48_l1,src_05,silicon_die_upper,5.9999999999999985e-06,0.225,37500.00000000001,8.325195312500003e-10,270263929.6187682,992,8,31,4,7,30,0.9,1.8,48.0
p1d64b_f01_low_low_q1_30_42p5_a48_l1,src_06,silicon_die_upper,6.000000000000001e-06,0.225,37499.99999999999,8.325195312500003e-10,270263929.6187682,992,8,31,4,7,30,0.9,1.8,48.0
p1d64b_f01_low_low_q1_30_42p5_a48_l1,src_07,silicon_die_upper,6.000000000000004e-06,0.225,37499.99999999997,8.325195312499998e-10,270263929.6187684,992,8,31,4,7,30,0.9,1.8,48.0
p1d64b_f01_low_low_q2_42p5_55_a64_l0,src_00,silicon_die_lower,7.999999999999998e-06,0.3125,39062.50000000001,1.0134887695312478e-09,308340861.18639034,1107,9,41,3,8,40,1.25,2.5,64.0
p1d64b_f01_low_low_q2_42p5_55_a64_l0,src_01,silicon_die_lower,8.000000000000001e-06,0.3125,39062.49999999999,9.008789062499982e-10,346883468.834689,984,8,41,3,7,40,1.25,2.5,64.0
p1d64b_f01_low_low_q2_42p5_55_a64_l0,src_02,silicon_die_lower,8.000000000000001e-06,0.3125,39062.49999999999,1.0134887695312478e-09,308340861.18639034,1107,9,41,3,8,40,1.25,2.5,64.0
p1d64b_f01_low_low_q2_42p5_55_a64_l0,src_03,silicon_die_lower,8.000000000000006e-06,0.3125,39062.49999999997,1.0134887695312474e-09,308340861.18639046,1107,9,41,3,8,40,1.25,2.5,64.0
p1d64b_f01_low_low_q2_42p5_55_a64_l0,src_04,silicon_die_upper,7.999999999999998e-06,0.3125,39062.50000000001,1.2387084960937505e-09,252278886.4252278,1476,9,41,4,8,40,1.25,2.5,64.0
p1d64b_f01_low_low_q2_42p5_55_a64_l0,src_05,silicon_die_upper,8.000000000000001e-06,0.3125,39062.49999999999,1.1010742187500006e-09,283813747.2283812,1312,8,41,4,7,40,1.25,2.5,64.0
p1d64b_f01_low_low_q2_42p5_55_a64_l0,src_06,silicon_die_upper,8.000000000000001e-06,0.3125,39062.49999999999,1.2387084960937503e-09,252278886.42522782,1476,9,41,4,8,40,1.25,2.5,64.0
p1d64b_f01_low_low_q2_42p5_55_a64_l0,src_07,silicon_die_upper,8.000000000000006e-06,0.3125,39062.49999999997,1.2387084960937499e-09,252278886.4252279,1476,9,41,4,8,40,1.25,2.5,64.0
p1d64b_f01_low_low_q2_42p5_55_a16_l1,src_00,silicon_die_lower,1.9999999999999995e-06,0.3125,156250.00000000003,2.416992187499995e-10,1292929292.9292955,264,8,11,3,7,10,1.25,2.5,16.0
p1d64b_f01_low_low_q2_42p5_55_a16_l1,src_01,silicon_die_lower,1.9999999999999995e-06,0.3125,156250.00000000003,2.4169921874999955e-10,1292929292.9292953,264,8,11,3,7,10,1.25,2.5,16.0
p1d64b_f01_low_low_q2_42p5_55_a16_l1,src_02,silicon_die_lower,1.9999999999999986e-06,0.3125,156250.00000000012,2.4169921874999944e-10,1292929292.929296,264,8,11,3,7,10,1.25,2.5,16.0
p1d64b_f01_low_low_q2_42p5_55_a16_l1,src_03,silicon_die_lower,2.0000000000000016e-06,0.3125,156249.99999999988,2.416992187499994e-10,1292929292.9292963,264,8,11,3,7,10,1.25,2.5,16.0
p1d64b_f01_low_low_q2_42p5_55_a16_l1,src_04,silicon_die_upper,2.000000000000001e-06,0.3125,156249.9999999999,2.685546875000001e-10,1163636363.636363,320,8,10,4,7,9,1.25,2.5,16.0
p1d64b_f01_low_low_q2_42p5_55_a16_l1,src_05,silicon_die_upper,2.0000000000000008e-06,0.3125,156249.99999999994,2.685546875000001e-10,1163636363.636363,320,8,10,4,7,9,1.25,2.5,16.0
p1d64b_f01_low_low_q2_42p5_55_a16_l1,src_06,silicon_die_upper,2.000000000000001e-06,0.3125,156249.9999999999,2.685546875000001e-10,1163636363.636363,320,8,10,4,7,9,1.25,2.5,16.0
p1d64b_f01_low_low_q2_42p5_55_a16_l1,src_07,silicon_die_upper,2.000000000000003e-06,0.3125,156249.99999999977,2.6855468749999996e-10,1163636363.6363637,320,8,10,4,7,9,1.25,2.5,16.0
p1d64b_f01_low_low_q3_55_67p5_a32_l0,src_00,silicon_die_lower,3.999999999999998e-06,0.3875,96875.00000000004,4.94384765624999e-10,783802469.135804,540,9,20,3,8,19,1.55,3.1,32.0
p1d64b_f01_low_low_q3_55_67p5_a32_l0,src_01,silicon_die_lower,4e-06,0.3875,96875.0,4.394531249999991e-10,881777777.7777796,480,8,20,3,7,19,1.55,3.1,32.0
p1d64b_f01_low_low_q3_55_67p5_a32_l0,src_02,silicon_die_lower,4e-06,0.3875,96875.0,4.94384765624999e-10,783802469.135804,540,9,20,3,8,19,1.55,3.1,32.0
